English,Translation
Tom will be here soon.,টম এখানে খুব শিঘ্রই আসছে।
Tom's dog bit my hand.,টমের কুকুর আমার হাত কামড়ে দিয়েছে।
What are you here for?,আপনি এখানে কি জন্যে এসেছেন?
What are you here for?,তুমি এখানে কি জন্য এসেছো?
Where can I buy books?,আমি বই কোথা থেকে কিনতে পারব?
Why don't you ask Tom?,আপনি টমকে জিজ্ঞেস করছেন না কেন?
Why should I help you?,আমি কেন তোমাকে সাহায্য করব?
You must come with me.,তোমাকে আমার সাথে আসতেই হবে।
An old lady sang to me.,একজন বৃদ্ধা আমাকে গান গেয়ে শোনালেন।
Could I have the check?,আমি কি একটু চেকটা পেতে পারি?
Did you see him go out?,আপনি কি ওনাকে বেড়িয়ে যেতে দেখেছেন?
Did you see him go out?,তুমি কি ওনাকে বেড়িয়ে যেতে দেখেছো?
Do you have any others?,আপনার কাছে কি আর কিছু আছে?
Do you have any others?,আপনাদের কাছে কি আর কিছু আছে?
Do you like folk music?,আপনি কি লোক সঙ্গীত পছন্দ করেন?
Do you like old movies?,আপনি কি পুরানো সিনেমা পছন্দ করেন?
Do you want this shirt?,আপনি কি এই শার্ট চান?
Do you want to be rich?,আপনি কি ধনী হতে চান?
Does he live near here?,উনি কি কাছাকাছি কোথাও থাকেন?
Does he live near here?,সে কি কাছাকাছি কোথাও থাকে?
He knows where we live.,উনি জানেন আমরা কোথায় থাকি।
He knows where we live.,তিনি জানেন আমরা কোথায় থাকি।
He knows where we live.,ও জানে আমরা কোথায় থাকি।
He knows where we live.,সে জানে আমরা কোথায় থাকি।
He left Japan for good.,সে ভালোর জন্যই জাপান ত্যাগ করেছে।
He went to the dentist.,উনি দাঁতের ডাক্তারের কাছে গিয়েছিলেন।
He went to the dentist.,তিনি দাঁতের ডাক্তারের কাছে গিয়েছিলেন।
He went to the dentist.,সে দাঁতের ডাক্তারের কাছে গিয়েছিল।
I bought a new sweater.,আমি একটা নতুন সোয়েটার কিনলাম।
I bought a new sweater.,আমি নতুন একটা সোয়েটার কিনেছি।
I decided not to drink.,আমি পান না করার সিদ্ধান্ত নিয়েছি।
I don't agree with him.,আমি ওর সাথে একমত নই।
I don't agree with him.,আমি ওনার সাথে একমত নই।
I don't agree with him.,আমি তার সাথে একমত নই।
I don't agree with him.,আমি তাঁর সাথে একমত নই।
I don't like Tom's dog.,আমার টমের কুকুরকে ভালো লাগে না।
I don't like this song.,আমি এই গান পছন্দ করি না।
I don't like this song.,এই গান আমার ভালো লাগে না।
I don't want you to go.,আমি চাই না যে আপনি যান।
I don't want you to go.,আমি চাই না যে তুই যাস।
I just eat bananas now.,আমি এখন খালি কলা খাই।
I left my card at home.,আমি আমার কার্ড বাড়িতে রেখে এসেছি।
I saw him wash the car.,আমি ওনাকে গাড়ি ধুতে দেখলাম।
I saw him wash the car.,আমি ওকে গাড়ি ধুতে দেখলাম।
I think I lost my keys.,আমার মনে হয় আমি আমার চাবিটা হারিয়ে ফেলেছি।
I thought Tom was dead.,আমি ভেবেছিলাম টম মারা গেছিলো।
I want to cook for you.,আমি আপনার জন্য রান্না করতে চাই।
I want to cook for you.,আমি তোমার জন্য রান্না করতে চাই।
I want to hear who won.,আমি কে জিতলো শুনতে চাই।
I want to write a book.,আমি একটি বই লিখতে চাই।
I will gladly help you.,আমি খুশি মনে তোমাকে সাহায্য করব।
I will gladly help you.,আমি খুশি মনে আপনাকে সাহায্য করব।
I will gladly help you.,আমি খুশি মনে তোকে সাহায্য করব।
I'd like to see my son.,আমি আমার ছেলেকে দেখতে চাই।
I'd say Tom is jealous.,আমি বলবো যে টম ঈর্ষান্বিত।
I'll come back for you.,আমি তোমার জন্য ফিরে আসবো।
I'll come back for you.,আমি তোর জন্য ফিরে আসবো।
I'll come back for you.,আমি আপনার জন্য ফিরে আসবো।
Is Tom still mad at me?,টম কি এখনো আমার উপর রেগে আছে?
May I open the windows?,আমি কি জানলাগুলো খুলতে পারি?
May I start eating now?,আমি কি এখন খাওয়া শুরু করতে পারি?
My son came to my room.,আমার ছেলে আমার ঘরে এসেছিল।
My son can't count yet.,আমার ছেলে এখনো গুনতে পারে না।
My throat is a bit dry.,আমার গলাটা একটু শুকিয়ে গেছে।
No one man could do it.,কোনো একজন মানুষ এটা করতে পারবে না।
She came late as usual.,সে যথারীতি দেরি করে এসেছে।
She knows what you did.,সে জানে তুমি কী করেছ।
Tell me which you want.,আপনার কোনটা দরকার আমাকে বলুন।
Tell me which you want.,তোমার কোনটা দরকার আমাকে বলো।
That war ended in 1954.,১৯৫৪ সালে যুদ্ধটি শেষ হয়।
The rain lasted a week.,বৃষ্টিটি এক সপ্তাহ ধরে চলেছিল।
Tom had no plan at all.,টমের কোনো পরিকল্পনাই ছিল না।
Tom is good at cooking.,টম খুব ভালো রান্না করতে পারে।
Tom knows me very well.,টম আমাকে খুব ভালোভাবে চেনে।
Tom rolled over in bed.,টম বিছানায় পাশ ফিরে শুলো।
Tom said he was afraid.,টম বলেছিল যে সে ভীত ছিল।
Tom sent Mary a letter.,টম মেরিকে একটা চিঠি পাঠালো।
Tom told me that today.,টম আমাকে সেটা আজকে বললো।
We can finish it later.,আমরা এটা পরেও শেষ করতে পারি।
We met a few weeks ago.,আমরা কয়েক সপ্তাহ আগে দেখা করেছিলাম।
We write our own songs.,আমরা আমাদের নিজেদের গান লিখি।
We write our own songs.,আমাদের নিজেদের গান নিজেরাই লিখি।
What time did Tom call?,টম কটার সময় ফোন করেছিল?
Where can I buy stamps?,আমি স্ট্যাম্প কোথা থেকে কিনতে পারব?
Where can I get stamps?,আমি স্ট্যাম্প কোথা থেকে পাব?
Why don't you go first?,আপনি আগে যাচ্ছেন না কেন?
You may use my new car.,তুমি আমার নতুন গাড়িটা ব্যবহার করতে পারো।
You may use my new car.,আপনি আমার নতুন গাড়িটা ব্যবহার করতে পারেন।
Are you referring to me?,আপনি কি আমার ব্যপারে বলছেন?
Ask me again in October.,আমাকে আবার অক্টোবরে জিজ্ঞাসা করবেন।
Can I ask you something?,আমি কি আপনাকে কিছু জিজ্ঞেস করতে পারি?
Can I take a look at it?,আমি কি এটা একটু দেখেতে পারি?
"Can you help me, please?",আপনি কি দয়া করে আমাকে সাহায্য করতে পারবেন?
Did you hear that sound?,আপনি কি ঐ শব্দটি শুনেছেন?
Do you have any pencils?,আপনার কাছে কোনো পেনসিল আছে?
Do you still read books?,আপনি কি এখনো বই পড়েন?
Do you still read books?,তুমি কি এখনো বই পড়ো?
Do you think Tom did it?,আপনি কি মনে করেন টম এটা করেছে?
Do you want fruit juice?,আপনি কি ফলের রস খেতে চান?
Do you want fruit juice?,তুমি কি ফলের রস খেতে চাও?
Don't let it get soiled.,এটাকে নোংরা হতে দিও না।
Don't let it get soiled.,এটাকে নোংরা হতে দেবেন না।
Have I arrived too late?,আমি কি একটু বেশীই দেরি করে ফেলেছি?
He behaves like a child.,সে বাচ্চাদের মতো আচরণ করে।
He is not what he seems.,তাকে যা মনে হয় সে তা নয়।
He saved me from danger.,তিনি আমাকে বিপদ থেকে রক্ষা করেছেন।
Here is my phone number.,এই হলো আমার ফোন নাম্বার।
How do you keep so calm?,আপনি কি করে এতো শান্ত থাকতে পারেন?
How do you keep so calm?,তুমি কি করে এতো শান্ত থাকতে পার?
How do you keep so calm?,তুই কি করে এতো শান্ত থাকতে পারিস?
How far is it from here?,ওটা এখান থেকে কতটা দূরে?
I can only speak French.,আমি খালি ফরাসি ভাষায় কথা বলতে পারি।
I can't find my luggage.,আমি আমার মালপত্র খুজে পাচ্ছি না।
I can't use a fork well.,আমি কাঁটা-চামচ ভালোভাবে ব্যবহার করতে পারি না।
"I did do that, didn't I?","আমি ওটা করেছি, তাই না?"
"I did do that, didn't I?","আমি আসলেই ওটা করেছি, তাই না?"
I do not understand you.,আমি আপনার কথা বুঝতে পারছি না।
I do not understand you.,আমি তোমার কথা বুঝতে পারছি না।
"I don't like it, either.",আমিও এটা পছন্দ করি না।
I don't want it anymore.,আমার আর এটা দরকার নেই।
I don't want it anymore.,আমার আর ওটা দরকার নেই।
I don't want it anymore.,আমার আর সেটা দরকার নেই।
I don't want to be here.,আমি এখানে থাকতে চাই না।
I don't want to eat now.,আমি এখন খেতে চাই না।
I don't want to go back.,আমি ফিরে যেতে চাই না।
I don't want to go home.,আমি বাড়ি যেতে চাই না।
I fell in love with him.,আমি ওনার প্রেমে পড়ে গেলাম।
I fell in love with him.,আমি তার প্রেমে পড়ে গেলাম।
I fell in love with him.,আমি ওর প্রেমে পড়ে গেলাম।
I finally found my keys.,আমি অবশেষে আমার চাবিগুলো পেয়েছি।
I had breakfast at 7:30.,আমি ৭:৩০ টায় সকালের নাস্তা খেয়েছি।
I had some things to do.,আমার কিছু কাজ করার ছিল।
I have an exam tomorrow.,আগামীকাল আমার একটা পরীক্ষা আছে।
I have finished my work.,আমি আমার কাজ শেষ করেছি।
I have hardly any money.,আমার কোনো টাকা নেই বললেই চলে।
I hope you'll pardon me.,আশা করি আপনি আমায় ক্ষমা করবেন।
I know all my neighbors.,আমি আমার সব প্রতিবেশীকে চিনি।
I know why you're upset.,তোমার মন খারাপ কেন আমি জানি।
I missed the 7:00 train.,আমি ৭ঃ০০টার ট্রেনটা ধরতে পারিনি।
I only have one blanket.,আমার কাছে মাত্র একটাই কম্বল আছে।
I slowly opened my eyes.,আমি আস্তে আস্তে চোখ খুললাম।
I think Tom works there.,আমার মনে হয় টম এখানে কাজ করে।
I won't forget that day.,সেদিনের কথা আমি ভুলবো না।
I'll be back by evening.,আমি সন্ধ্যার আগে ফিরে আসবো।
I'll be back in a month.,আমি এক মাসের মধ্যে ফিরে আসবো।
I'll see you next month.,আমি আপনার সঙ্গে আগামী মাসে দেখা করব।
I'll stay here with you.,আমি তোমার সাথে এখানে থাকব।
I'm at a loss for words.,আমি কোনো শব্দ খুজে পাচ্ছি না।
I'm now able to do that.,আমি এখন ওটা করতে পারবো।
Is it safe to swim here?,এখানে সাঁতার কাটা কি নিরাপদ?
Is your husband at home?,আপনার স্বামী কি বাড়িতে আছেন?
"Like I said, no problem.","যেমন আমি বলেছি, কোন সমস্যা নেই।"
May I see your passport?,আমি কি আপনার পাসপোর্টটি দেখতে পারি?
May I swim in this lake?,আমি কি এই হ্রদে সাঁতার কাটতে পারি?
May I use a credit card?,আমি কি ক্রেডিট কার্ড ব্যবহার করতে পারি?
Please get away from me.,আমার কাছ থেকে দূরে সরে যান।
She asked me a question.,তিনি আমাকে একটি প্রশ্ন জিজ্ঞাসা করেছেন।
The police are after me.,পুলিশ আমার পেছনে পড়ে আছে।
This isn't an easy task.,এটি কোনো সহজ কাজ নয়।
"Tom did that, didn't he?","টম ওটা করেছে, তাই না?"
Tom tried but he failed.,টম চেষ্টা করেছে কিন্তু সে ব্যর্থ হয়েছে।
Tom was elected in 2013.,টম ২০১৩ এ নির্বাচিত হয়েছিলো।
Tom was with me all day.,টম আমার সঙ্গে সারা দিন ছিল।
Turn left at the corner.,মোড়ে গিয়ে বাঁদিকে বেঁকে যাবেন।
We need to stay focused.,আমাদের মনোযোগ বজায় রাখতে হবে।
We were waiting for Tom.,আমরা টমের জন্য অপেক্ষা করছিলাম।
We were waiting for you.,আমরা তোমার জন্য অপেক্ষা করছিলাম।
We were waiting for you.,আমরা তোর জন্য অপেক্ষা করছিলাম।
We were waiting for you.,আমরা আপনার জন্য অপেক্ষা করছিলাম।
We'll take a break soon.,আমরা শীঘ্রই একটি বিরতি নেব।
What if it's not enough?,এটা যথেষ্ট না হলে কী হবে?
What they did was wrong.,ওনারা যা করেছেন সেটা ভুল।
What they did was wrong.,ওরা যা করেছে সেটা ভুল।
What time do you get up?,আপনি কটার সময় ঘুম থেকে ওঠেন?
What time do you get up?,তুমি কটার সময় ঘুম থেকে ওঠো?
What time does it close?,কটার সময এটা বন্ধ হয়?
What time does it close?,এটা কটার সময় বন্ধ হয়?
What's Tom trying to do?,টম কী করার চেষ্টা করছে?
When do you go shopping?,আপনি কখন কেনাকাটা করতে যান?
Where can I buy tickets?,আমি টিকিট কোথা থেকে কিনতে পারব?
Where did Tom call from?,টম কোথা থেকে ফোন করেছিল?
Where does she live now?,তিনি এখন কোথায় বাস করেন?
Who wants to talk to me?,কে আমার সাথে কথা বলতে চায়?
Will he succeed or fail?,সে কি সফল হবে নাকি ব্যর্থ হবে?
You don't have to study.,তোমাকে পড়াশুনা করতে হবে না।
"You saw Tom, didn't you?","তুমি টমকে দেখেছ, তাই না?"
"You saw Tom, didn't you?","তুমি টমকে দেখেছিলে, তাই না?"
"You saw Tom, didn't you?","আপনি টমকে দেখেছিলেন, তাই না?"
"I'll be back, said Tom.","আমি ফিরে আসবো, টম বল্লো।"
Can I change the channel?,আমি কি চ্যানেলটা পালটাতে পারি?
Can I pay by credit card?,আমি কি ক্রেডিট কার্ড দিয়ে দাম দিতে পারি?
Can you tell me the time?,আপনি কি আমাকে সময়টা বলতে পারবেন?
China is a large country.,চীন অনেক বড় একটি দেশ।
Could I have some towels?,আমি কি কয়েকটা টাওয়েল পেতে পারি?
Could we talk in private?,আমরা কি একান্তে কথা বলতে পারি?
Did you ask them to wait?,আপনি কি তাদের অপেক্ষা করতে বলেছেন?
Do I need to book a seat?,আমাকে কি আসন সংরক্ষণ করতে হবে?
Do whatever he tells you.,উনি যা বলেন তাই করো।
Do whatever he tells you.,ও যা বলে তাই করো।
Do you feel better today?,তুমি কি আজ ভালো বোধ করছো?
Do you have a pen on you?,আপনার কাছে একটা পেন হবে?
Do you have a pen on you?,তোমার কাছে একটা পেন হবে?
Do you know what he said?,আপনি কি জানেন উনি কী বললেন?
Do you know what he said?,তুমি কি জানো উনি কী বললেন?
Do you know what he said?,আপনি কি জানেন ও কী বললো?
Do you know what he said?,তুমি কি জানো ও কী বললো?
He jumped onto the table.,সে টেবিলের ওপর ঝাঁপিয়ে পড়ল।
He jumped out the window.,তিনি জানালা দিয়ে লাফ দিয়েছেন।
He turned pale with fear.,সে ভয়ে ফ্যাকাশে হয়ে গেল।
How are we feeling today?,আজ আপনি কেমন অনুভব করছেন?
How could they forget us?,তারা আমাদের কী করে ভুলে যেতে পারে?
How could they forget us?,ওরা আমাদের কী করে ভুলে যেতে পারে?
How could they forget us?,তাঁরা আমাদের কী করে ভুলে যেতে পারেন?
How could they forget us?,ওনারা আমাদের কী করে ভুলে যেতে পারেন?
How did this get started?,এটা শুরু হলো কী ভাবে?
How long do we stop here?,আমরা এখানে কতক্ষণের জন্য থামব?
How much will it cost me?,এটায় আমার কত খরচ হবে?
How much will you pay me?,আপনি আমাকে কত টাকা দেবেন?
How old is that painting?,এই আঁকা ছবিটার বয়স কত?
I admit that I was wrong.,আমি স্বীকার করছি যে আমি ভুল ছিলাম।
I bought a pair of shoes.,আমি এক জোড়া জুতো কিনলাম।
I can't accept your gift.,আমি আপনার উপহার গ্রহণ করতে পারব না।
I can't thank you enough.,তোমাকে ধন্যবাদ জানানোর ভাষা আমার নেই।
I didn't have any choice.,আমার কাছে কোনো উপায় ছিল না।
I didn't want to do that.,আমি ওটা করতে চাই নি।
I didn't want to do that.,আমি সেটা করতে চাই নি।
I don't like you anymore.,আমার আর তোমাকে ভালো লাগে না।
I don't like you anymore.,আমার আর আপনাকে ভালো লাগে না।
I don't need your advice.,তোমার উপদেশের কোনো প্রয়োজন আমার নেই।
I don't want to go alone.,আমি একা যেতে চাই না।
I don't want to go there.,আমি ওখানে যেতে চাই না।
I drank yours by mistake.,আমি ভুল করে আপনারটা পান করেছি।
I found his house easily.,আমি সহজেই ওনার বাড়ি খুজে পেয়েছিলাম।
I found his house easily.,আমি সহজেই তাঁর বাড়ি খুজে পেয়েছিলাম।
I found his house easily.,আমি সহজেই ওর বাড়ি খুজে পেয়েছিলাম।
I found his house easily.,আমি সহজেই তার বাড়ি খুজে পেয়েছিলাম।
I hope that won't happen.,আশা করি সেটা ঘটবে না।
I hope that won't happen.,আশা করছি সেটা হবে না।
I lost your phone number.,আমি আপনার ফোন নাম্বারটা হারিয়ে ফেলেছি।
I lost your phone number.,আমি তোমার ফোন নাম্বারটা হারিয়ে ফেলেছি।
I need five more minutes.,আমার আর পাঁচ মিনিট লাগবে।
I never said that to Tom.,আমি কখনই টমকে তা বলিনি।
I was at a movie theater.,আমি একটা সিনেমা হলে ছিলাম।
I was born in that house.,ঐ ঘরে আমার জন্ম হয়েছিলো।
I will not tolerate this.,আমি এটা বরদাস্ত করবো না।
I'll be back by midnight.,আমি মধ্যরাতের আগে ফিরে আসবো।
I'll be back in a minute.,আমি এক মিনিটের মধ্যে ফিরে আসবো।
I'll stay here until ten.,আমি এখানে দশটা অবধি থাকবো।
I'm not a morning person.,আমি সকাল সকাল ঘুম থেকে উঠি না।
I'm not feeling too well.,আমার শরীর খুব একটা ভালো লাগছে না।
I'm really happy for Tom.,আমি টমের জন্য খুব খুশি।
"I'm sorry, but it's time.",আমি দুঃখির কিন্তু সময় হয়ে গেছে।
I've got to speak to you.,আপনার সাথে আমার কিছু কথা আছে।
Is the museum open today?,জাদুঘরটা কি আজ খোলা আছে?
Is there any mail for me?,আমার জন্য কোনো ডাক আছে?
It's a quote from a book.,এই উক্তিটি একটি বই থেকে নেওয়া হয়েছে।
Mary is wearing a bikini.,মেরি একটি বিকিনি পরে আছে।
My mother is a good cook.,আমার মা একজন ভালো রাঁধুনি।
No one says that anymore.,এখন আর কেউ ওসব বলে না।
"Pass me the salt, please.",অনুগ্রহ করে নুনটা এগিয়ে দেবেন।
Please take your hat off.,দয়া করে আপনার টুপিটি খুলুন।
Salt is used to thaw ice.,বরফ গলাবার জন্য নুন ব্যাবহার করা হয়।
There was nothing to see.,দেখার মতো কিছু ছিল না।
They don't seem that bad.,তাদের তেমন খারাপ মনে হয় না।
This is driving me crazy.,এটা আমাকে পাগল করে দিচ্ছে।
Tom doesn't eat raw fish.,টম কাঁচা মাছ খায় না।
Tom has given us so much.,টম আমাদের কতো কিছু দিয়েছে।
Tom is going to hurt you.,টম তোমাকে আঘাত করতে যাচ্ছে।
Tom is lying on his back.,টম চিৎ হয়ে শুয়ে আছে।
Tom is used to hard work.,টম কঠিন কাজ করতে অভ্যস্ত।
Tom kept his eyes closed.,টম তার চোখ বন্ধ রেখেছিল।
Tom kept his eyes closed.,টম তাঁর চোখ বন্ধ রেখেছিলেন।
Tom kept his eyes closed.,টম ওর চোখ বন্ধ রেখেছিল।
Tom kept his eyes closed.,টম ওনার চোখ বন্ধ রেখেছিলেন।
Tom knew I was irritated.,টম জানত আমি বিরক্ত ছিলাম।
Tom looked like a zombie.,টম দেখতে জম্বির মতো লাগছিলো।
Tom slept in his clothes.,টম তার জামা পরেই ঘুমিয়েছে।
Tom turned his phone off.,টম তার ফোন বন্ধ করে দিয়েছে।
We do what we want to do.,আমরা যা করতে চাই তাই করি।
We do what we want to do.,আমরা যা চাই তাই করি।
We have to sell it today.,আজই আমাদের এটা বিক্রি করতে হবে।
What do I have to change?,আমায় কী পরিবর্তন করতে হবে?
What he said is not true.,উনি যা বললেন তা সত্যি নয়।
What he said is not true.,ও যা বললো তা সত্যি নয়।
What you said isn't true.,আপনি যা বললেন তা সত্যি নয়।
When do you drink coffee?,আপনি কখন কফি পান করেন?
